config,fitness,distance,datapoints,eval_id
"[0, 0, 0, 1, 1, 0, 9, 3, 5, 3, 1, 0, 2, 3]",0.78123081780084,6.0,42.0,113.0
"[0, 0, 9, 1, 1, 0, 3, 3, 0, 3, 1, 1, 0, 3]",0.5730803301501171,9.0,11.0,114.0
"[0, 0, 0, 1, 1, 0, 9, 9, 5, 8, 1, 0, 0, 3]",0.7964639181621981,6.0,32.0,115.0
"[0, 0, 3, 1, 1, 0, 3, 4, 5, 3, 1, 0, 0, 3]",0.7049282122546681,3.0,70.0,116.0
"[0, 0, 0, 1, 1, 0, 8, 3, 5, 7, 1, 1, 0, 3]",0.7538088608818201,5.0,47.0,117.0
"[0, 0, 2, 1, 1, 0, 3, 3, 5, 3, 1, 0, 1, 3]",0.7078047919786561,2.0,74.0,118.0
"[0, 0, 3, 1, 1, 0, 3, 3, 5, 3, 1, 0, 0, 2]",0.722287348246612,3.0,77.0,119.0
"[0, 0, 3, 1, 1, 0, 3, 3, 1, 2, 1, 0, 0, 3]",0.64288727771148,4.0,23.0,120.0
"[0, 0, 1, 1, 1, 0, 3, 10, 5, 1, 1, 0, 0, 3]",0.7233336978082141,7.0,41.0,121.0
"[0, 0, 0, 1, 1, 0, 3, 0, 5, 0, 1, 0, 0, 1]",0.626971117646626,3.0,15.0,122.0
"[0, 0, 5, 1, 1, 0, 3, 0, 5, 3, 1, 0, 0, 0]",0.689039196985868,5.0,88.0,123.0
"[0, 0, 0, 1, 1, 0, 3, 2, 3, 3, 1, 0, 0, 3]",0.739774164017682,2.0,28.0,124.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 2, 1, 0, 6]",0.733238830536444,3.0,24.0,125.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 1, 1, 0, 0, 3]",0.7566904726007241,2.0,26.0,126.0
"[0, 0, 0, 1, 1, 0, 3, 7, 2, 6, 1, 0, 0, 3]",0.665892339270726,4.0,21.0,127.0
"[0, 0, 0, 6, 1, 0, 3, 8, 5, 3, 2, 0, 0, 3]",0.775387314400607,5.0,33.0,128.0
"[0, 0, 0, 1, 8, 0, 3, 3, 5, 3, 1, 0, 3, 1]",0.7806441757661671,7.0,43.0,129.0
"[0, 0, 0, 1, 2, 0, 3, 3, 7, 3, 1, 0, 0, 3]",0.7842061583158141,2.0,51.0,130.0
"[0, 0, 0, 1, 1, 0, 3, 8, 5, 3, 1, 2, 0, 3]",0.738910080314205,5.0,15.0,131.0
"[0, 0, 5, 1, 1, 0, 3, 3, 5, 9, 2, 0, 0, 3]",0.686644868539468,6.0,75.0,132.0
"[0, 0, 8, 1, 1, 0, 3, 4, 5, 3, 1, 0, 0, 7]",0.6984356808597341,8.0,80.0,133.0
"[0, 0, 0, 3, 9, 0, 3, 3, 5, 3, 1, 0, 1, 3]",0.7796010379221001,8.0,39.0,134.0
"[0, 0, 0, 0, 1, 0, 3, 0, 5, 3, 1, 1, 0, 3]",0.682537581059237,3.0,24.0,135.0
"[0, 0, 0, 3, 1, 0, 3, 10, 5, 3, 1, 0, 2, 3]",0.771406008278213,7.0,29.0,136.0
"[0, 0, 0, 5, 1, 0, 3, 8, 5, 2, 1, 0, 0, 3]",0.7801119131191001,5.0,26.0,137.0
"[0, 0, 8, 1, 3, 0, 3, 8, 5, 3, 1, 0, 0, 3]",0.701127109279649,8.0,56.0,138.0
"[0, 0, 0, 1, 0, 0, 3, 7, 8, 3, 1, 0, 0, 3]",0.6192698156774781,4.0,19.0,139.0
"[0, 0, 5, 1, 9, 0, 3, 0, 5, 3, 1, 0, 0, 3]",0.712845523676297,8.0,58.0,140.0
"[0, 0, 0, 1, 8, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.799169544163794,7.0,39.0,141.0
"[0, 0, 0, 1, 6, 0, 3, 10, 7, 3, 1, 0, 0, 3]",0.775738839619572,7.0,33.0,142.0
"[0, 0, 0, 8, 1, 0, 2, 3, 5, 10, 1, 0, 0, 3]",0.754497853608168,7.0,45.0,143.0
"[0, 0, 0, 1, 6, 0, 3, 5, 5, 3, 3, 0, 0, 3]",0.7647392212331211,5.0,40.0,144.0
"[0, 0, 0, 6, 0, 0, 3, 3, 5, 3, 1, 0, 0, 9]",0.6192698156774781,6.0,19.0,145.0
"[0, 0, 0, 2, 1, 0, 3, 3, 5, 3, 1, 0, 0, 7]",0.791732593023306,4.0,38.0,146.0
"[0, 0, 0, 1, 6, 0, 3, 3, 5, 0, 1, 0, 0, 3]",0.689247316406506,5.0,13.0,147.0
"[0, 0, 0, 1, 1, 0, 3, 10, 8, 3, 1, 0, 0, 3]",0.802091203145836,7.0,36.0,148.0
"[0, 0, 0, 3, 1, 0, 3, 7, 5, 3, 1, 0, 1, 3]",0.7693604679448761,4.0,32.0,149.0
